impression_id,user_id,variant,clicked,converted,revenue
1,8511,B,0,0,0.0
2,274,A,0,0,0.0
3,2119,B,0,0,0.0
4,27,A,0,0,0.0
5,9881,A,0,0,0.0
6,265,B,1,0,0.0
7,7060,A,0,0,0.0
8,7048,A,0,0,0.0
9,116,B,1,0,0.0
10,397,A,0,0,0.0
11,8325,A,0,0,0.0
12,4133,A,0,0,0.0
13,2545,A,0,0,0.0
14,7193,B,0,0,0.0
15,5718,B,0,0,0.0
16,3515,A,0,0,0.0
17,2729,A,0,0,0.0
18,2129,A,0,0,0.0
19,5928,A,0,0,0.0
20,4371,B,1,0,0.0
21,2019,B,0,0,0.0
22,9240,B,0,0,0.0
23,8559,A,0,0,0.0
24,1233,B,0,0,0.0
25,7384,B,0,0,0.0
26,3428,B,0,0,0.0
27,6521,B,0,0,0.0
28,6260,B,0,0,0.0
29,922,A,0,0,0.0
30,1168,B,0,0,0.0
31,9023,B,0,0,0.0
32,5463,B,0,0,0.0
33,332,A,0,0,0.0
34,8768,B,0,0,0.0
35,2122,B,0,0,0.0
36,1225,A,0,0,0.0
37,817,B,0,0,0.0
38,2619,B,0,0,0.0
39,9910,B,0,0,0.0
40,3993,B,0,0,0.0
41,6136,A,0,0,0.0
42,7672,A,1,0,0.0
43,2212,B,0,0,0.0
44,7162,B,0,0,0.0
45,5639,A,0,0,0.0
46,2927,B,0,0,0.0
47,5542,A,0,0,0.0
48,7550,A,0,0,0.0
49,7566,A,0,0,0.0
50,5155,A,0,0,0.0
51,8904,B,0,0,0.0
52,3595,A,0,0,0.0
53,2503,B,0,0,0.0
54,4409,B,0,0,0.0
55,8634,B,0,0,0.0
56,3198,A,0,0,0.0
57,4908,B,0,0,0.0
58,9030,B,0,0,0.0
59,6950,B,0,0,0.0
60,331,B,0,0,0.0
61,3248,B,0,0,0.0
62,705,B,1,0,0.0
63,1393,B,0,0,0.0
64,6005,B,0,0,0.0
65,9370,B,0,0,0.0
66,4782,B,0,0,0.0
67,8434,A,0,0,0.0
68,4193,B,0,0,0.0
69,7488,A,0,0,0.0
70,846,A,0,0,0.0
71,8710,A,0,0,0.0
72,9292,A,0,0,0.0
73,4291,B,0,0,0.0
74,9965,B,0,0,0.0
75,4435,A,0,0,0.0
76,7826,B,0,0,0.0
77,2583,A,0,0,0.0
78,3226,B,0,0,0.0
79,3289,A,0,0,0.0
80,9167,B,0,0,0.0
81,3703,A,0,0,0.0
82,8056,B,0,0,0.0
83,1625,A,0,0,0.0
84,248,A,0,0,0.0
85,4092,A,0,0,0.0
86,3287,B,0,0,0.0
87,3662,B,1,0,0.0
88,6218,B,0,0,0.0
89,5318,A,0,0,0.0
90,7385,B,0,0,0.0
91,3074,B,0,0,0.0
92,1559,A,0,0,0.0
93,9948,A,0,0,0.0
94,5741,A,0,0,0.0
95,3104,B,0,0,0.0
96,211,B,0,0,0.0
97,8364,B,0,0,0.0
98,307,A,0,0,0.0
99,2131,A,0,0,0.0
100,8041,B,0,0,0.0
101,6989,A,0,0,0.0
102,2660,B,0,0,0.0
103,5029,A,0,0,0.0
104,3038,A,0,0,0.0
105,4917,A,0,0,0.0
106,273,A,0,0,0.0
107,2211,A,0,0,0.0
108,271,B,0,0,0.0
109,7783,A,0,0,0.0
110,8514,B,0,0,0.0
111,1351,B,0,0,0.0
112,395,A,0,0,0.0
113,651,B,0,0,0.0
114,8239,A,1,0,0.0
115,1983,A,0,0,0.0
116,5861,A,0,0,0.0
117,1954,A,1,0,0.0
118,3268,B,0,0,0.0
119,8356,A,0,0,0.0
120,1120,A,0,0,0.0
121,6164,B,0,0,0.0
122,793,B,0,0,0.0
123,8252,B,0,0,0.0
124,9575,B,0,0,0.0
125,8008,A,0,0,0.0
126,362,A,0,0,0.0
127,5109,B,1,0,0.0
128,1010,A,0,0,0.0
129,3319,B,0,0,0.0
130,7342,A,0,0,0.0
131,577,B,0,0,0.0
132,699,B,0,0,0.0
133,6051,B,0,0,0.0
134,7310,B,0,1,8.68773748604174
135,3404,B,0,0,0.0
136,4162,A,0,0,0.0
137,5921,A,0,0,0.0
138,8414,B,0,0,0.0
139,3997,B,0,0,0.0
140,1912,B,0,0,0.0
141,4509,A,1,0,0.0
142,9097,B,0,0,0.0
143,3198,A,0,0,0.0
144,6603,A,0,0,0.0
145,9539,B,0,0,0.0
146,1579,A,0,0,0.0
147,3060,B,0,0,0.0
148,4670,B,0,0,0.0
149,331,A,0,0,0.0
150,4837,B,0,0,0.0
151,7290,B,0,0,0.0
152,7101,B,0,0,0.0
153,4064,B,0,0,0.0
154,6115,A,0,0,0.0
155,4184,A,0,0,0.0
156,986,B,0,0,0.0
157,151,B,0,0,0.0
158,5740,A,0,0,0.0
159,899,B,0,0,0.0
160,3397,B,0,0,0.0
161,1675,B,0,0,0.0
