impression_id,user_id,variant,clicked,converted,revenue
1,4478,B,0,0,0.0
2,1905,A,0,0,0.0
3,699,B,0,0,0.0
4,1539,A,0,0,0.0
5,526,A,0,0,0.0
6,925,B,0,0,0.0
7,3889,A,0,0,0.0
8,4988,A,0,0,0.0
9,880,B,0,0,0.0
10,2877,A,0,0,0.0
11,3078,A,0,0,0.0
12,3236,A,0,0,0.0
13,4899,A,0,0,0.0
14,2015,B,0,0,0.0
15,2539,B,0,0,0.0
16,1456,A,0,0,0.0
17,4731,A,0,0,0.0
18,865,A,0,0,0.0
19,1880,A,0,0,0.0
20,4182,B,0,0,0.0
21,4571,B,0,0,0.0
22,1215,B,0,0,0.0
23,3664,A,0,0,0.0
24,4954,B,0,0,0.0
25,1996,B,1,0,0.0
26,4435,B,0,0,0.0
27,1858,B,0,0,0.0
28,516,B,0,0,0.0
29,4250,A,0,0,0.0
30,4326,B,0,0,0.0
31,2343,B,0,0,0.0
32,828,B,0,0,0.0
33,420,A,0,0,0.0
34,2044,B,0,0,0.0
35,2822,B,0,0,0.0
36,3348,A,0,0,0.0
37,4434,B,0,0,0.0
38,1254,B,0,0,0.0
39,4316,B,0,0,0.0
40,2953,B,1,0,0.0
41,1832,A,0,0,0.0
42,3341,A,0,0,0.0
43,2705,B,0,0,0.0
44,1278,B,0,0,0.0
45,4832,A,0,0,0.0
46,4298,B,0,0,0.0
47,1690,A,0,0,0.0
48,3224,A,0,0,0.0
49,2294,A,0,0,0.0
50,4552,A,0,0,0.0
51,3069,B,0,0,0.0
52,4111,A,0,0,0.0
53,1516,B,0,0,0.0
54,406,B,0,0,0.0
55,604,B,0,0,0.0
56,2893,A,0,0,0.0
57,2800,B,0,0,0.0
58,1503,B,0,0,0.0
59,4354,B,0,0,0.0
60,1362,B,0,0,0.0
61,3725,B,0,0,0.0
62,1034,B,0,0,0.0
63,908,B,0,0,0.0
64,2392,B,0,0,0.0
65,4454,B,0,0,0.0
66,2370,B,0,0,0.0
67,1618,A,0,0,0.0
68,3395,B,0,0,0.0
69,2211,A,0,0,0.0
70,728,A,0,0,0.0
71,3517,A,0,0,0.0
72,2433,A,0,0,0.0
73,2094,B,1,0,0.0
74,2552,B,0,0,0.0
75,165,A,0,0,0.0
76,1751,B,0,0,0.0
77,4734,A,0,0,0.0
78,3343,B,1,0,0.0
79,425,A,1,0,0.0
80,4547,B,1,0,0.0
81,2534,A,0,0,0.0
82,4218,B,0,0,0.0
83,3629,A,0,0,0.0
84,4875,A,0,0,0.0
85,974,A,0,0,0.0
86,3642,B,0,0,0.0
87,1392,B,0,0,0.0
88,1863,B,0,0,0.0
89,1904,A,0,0,0.0
90,4747,B,0,0,0.0
91,465,B,0,0,0.0
92,3237,A,0,0,0.0
93,3397,A,0,0,0.0
94,4392,A,0,0,0.0
95,1787,B,0,0,0.0
96,1039,B,0,0,0.0
97,2002,B,0,0,0.0
98,2771,A,0,0,0.0
99,422,A,0,0,0.0
100,159,B,0,0,0.0
101,2008,A,0,0,0.0
102,4279,B,0,0,0.0
103,4376,A,0,0,0.0
104,794,A,0,0,0.0
105,4089,A,0,0,0.0
106,1755,A,0,0,0.0
107,3191,A,0,0,0.0
108,2030,B,0,0,0.0
109,4413,A,0,0,0.0
110,1136,B,0,0,0.0
111,1036,B,0,0,0.0
112,2495,A,0,0,0.0
113,3631,B,0,0,0.0
114,3947,A,0,0,0.0
115,238,A,0,0,0.0
116,1862,A,0,0,0.0
117,4177,A,0,0,0.0
118,2320,B,0,0,0.0
119,4357,A,0,0,0.0
120,80,A,0,0,0.0
121,4332,B,0,0,0.0
122,3849,B,0,0,0.0
123,1715,B,1,0,0.0
124,462,B,0,0,0.0
125,588,A,0,0,0.0
126,3967,A,0,0,0.0
127,795,B,0,0,0.0
128,2739,A,0,0,0.0
129,2499,B,0,0,0.0
130,4435,A,0,0,0.0
131,3903,B,0,0,0.0
132,2354,B,0,0,0.0
133,1847,B,0,0,0.0
134,4668,B,0,0,0.0
135,1058,B,1,0,0.0
136,3947,A,0,0,0.0
137,180,A,0,0,0.0
138,4259,B,0,0,0.0
139,4982,B,0,0,0.0
140,3667,B,0,0,0.0
141,2573,A,0,0,0.0
142,4121,B,0,0,0.0
143,1680,A,0,0,0.0
144,3519,A,0,0,0.0
145,3377,B,0,0,0.0
146,3061,A,0,0,0.0
147,3239,B,0,0,0.0
148,3271,B,0,0,0.0
149,3508,A,0,0,0.0
150,2034,B,0,0,0.0
151,1771,B,0,0,0.0
152,438,B,0,0,0.0
153,1696,B,0,0,0.0
154,357,A,0,0,0.0
155,111,A,0,0,0.0
156,2123,B,0,0,0.0
157,1584,B,0,0,0.0
158,244,A,0,0,0.0
159,27,B,0,0,0.0
160,4627,B,0,0,0.0
161,4334,B,0,0,0.0
162,86,A,0,0,0.0
163,203,A,0,0,0.0
164,3948,B,0,0,0.0
165,3238,B,0,0,0.0
166,3868,B,0,0,0.0
167,2660,A,0,0,0.0
168,1964,B,0,0,0.0
169,4685,B,0,1,8.785032580165062
170,4175,B,0,0,0.0
171,3605,B,0,0,0.0
172,3017,B,0,0,0.0
173,3545,B,0,0,0.0
174,3284,B,0,0,0.0
175,3274,B,0,0,0.0
176,4560,A,0,0,0.0
177,3194,B,0,0,0.0
178,2140,B,0,0,0.0
179,758,A,0,0,0.0
180,466,B,0,0,0.0
181,215,B,0,0,0.0
182,2627,B,0,0,0.0
183,2776,A,0,0,0.0
184,3428,A,0,0,0.0
185,1731,A,0,0,0.0
186,1068,B,0,0,0.0
187,4285,A,0,0,0.0
188,782,B,0,0,0.0
189,2470,A,0,0,0.0
190,3546,B,1,0,0.0
191,2985,A,0,0,0.0
192,1503,B,0,0,0.0
193,2276,B,0,0,0.0
194,1192,A,1,0,0.0
195,4081,A,0,0,0.0
196,506,A,0,0,0.0
197,1351,A,0,0,0.0
198,639,B,0,0,0.0
199,68,A,0,0,0.0
200,2745,B,0,0,0.0
201,1534,B,0,0,0.0
202,1425,A,0,0,0.0
203,219,B,0,0,0.0
204,3469,A,0,0,0.0
205,14,B,0,0,0.0
206,4215,B,0,0,0.0
207,1358,A,0,0,0.0
208,2003,B,0,0,0.0
209,1454,A,0,0,0.0
210,1214,B,0,0,0.0
211,4062,A,0,0,0.0
212,3582,B,0,0,0.0
213,1280,A,0,0,0.0
214,2225,B,0,0,0.0
215,4629,A,0,0,0.0
216,483,B,1,0,0.0
217,2017,B,0,0,0.0
218,2257,A,0,0,0.0
219,2252,B,0,0,0.0
220,1932,B,0,0,0.0
221,4797,A,0,0,0.0
222,1848,A,1,0,0.0
223,3125,B,0,0,0.0
224,3227,A,0,0,0.0
225,953,B,0,0,0.0
226,3244,A,0,0,0.0
227,1021,B,0,0,0.0
228,4867,B,0,0,0.0
229,304,A,0,0,0.0
230,1686,B,0,0,0.0
231,3659,A,0,0,0.0
232,1563,B,0,0,0.0
233,1356,B,0,0,0.0
234,2344,B,0,0,0.0
235,3258,A,0,0,0.0
236,2400,A,0,0,0.0
237,1779,B,0,0,0.0
238,3641,A,0,0,0.0
239,459,B,0,0,0.0
240,3358,B,0,0,0.0
241,2647,B,0,0,0.0
242,66,A,0,0,0.0
243,3425,B,0,0,0.0
244,4484,A,0,0,0.0
245,3675,B,0,0,0.0
246,3258,A,0,0,0.0
247,1752,A,0,0,0.0
248,3993,A,0,0,0.0
249,253,A,0,0,0.0
250,4089,B,0,0,0.0
251,1740,A,1,0,0.0
252,959,B,0,0,0.0
253,4667,A,0,0,0.0
254,4673,A,0,0,0.0
255,779,B,0,0,0.0
256,2899,B,0,0,0.0
257,2188,B,0,0,0.0
258,3447,A,0,0,0.0
259,118,A,1,0,0.0
260,4722,B,0,0,0.0
261,2869,B,0,0,0.0
262,1390,A,0,0,0.0
263,2591,B,0,0,0.0
264,1053,A,0,0,0.0
265,713,A,0,0,0.0
266,3703,A,0,0,0.0
267,3070,B,0,0,0.0
268,1863,B,0,0,0.0
269,2811,A,0,0,0.0
270,1735,B,0,0,0.0
271,828,B,0,0,0.0
272,3880,A,0,0,0.0
273,2013,B,1,0,0.0
274,4672,A,0,0,0.0
275,3846,B,0,1,9.844630219921479
276,573,A,0,0,0.0
277,4466,A,0,0,0.0
278,642,B,1,0,0.0
279,1238,B,0,0,0.0
280,4517,A,0,0,0.0
281,2424,A,0,0,0.0
282,4541,B,0,0,0.0
283,2402,B,0,0,0.0
284,1249,B,0,0,0.0
285,3753,A,0,0,0.0
286,655,A,0,0,0.0
287,160,A,0,0,0.0
288,328,A,0,0,0.0
289,2795,B,0,0,0.0
290,4999,A,0,0,0.0
291,4401,A,0,0,0.0
292,2335,B,0,0,0.0
293,2175,A,0,0,0.0
294,2707,A,0,0,0.0
295,1003,A,0,0,0.0
296,4576,B,0,0,0.0
297,2232,B,0,0,0.0
298,4312,B,0,0,0.0
299,4532,B,0,0,0.0
300,276,B,0,0,0.0
301,2716,A,0,0,0.0
302,3984,B,0,0,0.0
303,3230,B,0,0,0.0
304,3791,A,0,0,0.0
305,1616,B,0,0,0.0
306,1185,A,0,0,0.0
307,1607,A,0,0,0.0
308,295,B,1,0,0.0
309,3637,A,0,0,0.0
310,3419,B,0,0,0.0
311,449,B,0,0,0.0
312,590,B,0,0,0.0
313,1378,A,0,0,0.0
314,80,B,0,0,0.0
315,563,B,0,0,0.0
316,2063,B,0,0,0.0
317,3998,A,0,0,0.0
